lng,lat,date
-92.4452778,42.5277778,1/1/2007 0:11
-81.94972220000001,26.5625,1/1/2007 0:20
-74.90638890000001,38.935,1/1/2007 13:00
-73.4175,40.6788889,1/1/2007 14:00
-117.1563889,32.7152778,1/1/2007 14:00
-82.67944440000001,27.770555600000005,1/1/2007 15:00
-87.2388889,41.575,1/1/2007 15:00
-80.30888890000001,25.908333300000002,1/1/2007 16:30
-100.4991667,28.708888899999998,1/1/2007 18:08
-93.2391667,33.26694439999999,1/1/2007 19:00
-87.65,41.85,1/1/2007 19:00
-123.0338889,44.9430556,1/1/2007 19:30
-87.94,41.955,1/1/2007 1:00
-74.95777779999999,40.0322222,1/1/2007 1:30
-87.7175,41.6252778,1/1/2007 20:21
-78.1938889,38.4213889,1/1/2007 21:30
-114.32166670000001,34.4838889,1/1/2007 21:45
-86.8025,33.5205556,1/1/2007 23:30
-80.1938889,25.7738889,1/1/2007 2:00
-79.23777779999999,40.243055600000005,1/1/2007 2:00
-74.0063889,40.7141667,1/1/2007 3:00
-118.1436111,34.1477778,1/1/2007 8:00
-118.30805559999999,34.180833299999996,1/1/2008 0:00
-118.30805559999999,34.180833299999996,1/1/2008 0:00
-116.96166670000001,32.7947222,1/1/2008 0:01
-115.1363889,36.175,1/1/2008 0:02
-121.9875,37.548333299999996,1/1/2008 0:03
-121.8047222,38.005,1/1/2008 0:05
-162.45944440000002,60.8969444,1/1/2008 0:08
-118.30805559999999,34.180833299999996,1/1/2008 0:15
-81.5216667,40.7966667,1/1/2008 0:15
-117.1563889,32.7152778,1/1/2008 0:20
-89.87388890000001,35.20444439999999,1/1/2008 0:30
-117.1563889,32.7152778,1/1/2008 0:30
-117.1563889,32.7152778,1/1/2008 0:30
-117.27333329999999,32.8472222,1/1/2008 0:40
-119.69722220000001,34.4208333,1/1/2008 11:00
-117.1563889,32.7152778,1/1/2008 12:30
-82.325,29.651388899999997,1/1/2008 17:00
-122.33083329999998,47.6063889,1/1/2008 17:15
-82.7197222,28.271388899999998,1/1/2008 18:00
-82.325,29.651388899999997,1/1/2008 18:30
-80.9113889,34.8527778,1/1/2008 19:00
-121.28,38.707222200000004,1/1/2008 1:00
-75.65,45.483333,1/1/2008 1:30
-82.35416670000001,31.2133333,1/1/2008 1:45
-97.1463889,31.5491667,1/1/2008 20:00
-96.6691667,33.7591667,1/1/2008 20:30
-90.9719444,30.302777799999998,1/1/2008 21:00
-88.9936111,40.4841667,1/1/2008 23:00
-82.325,29.651388899999997,1/1/2008 3:00
-82.6016667,34.8297222,1/1/2008 6:10
-81.6558333,30.331944399999998,1/1/2008 8:30
-118.1155556,34.57944439999999,1/1/2009 0:00
-82.5730556,28.5152778,1/1/2009 0:00
-116.99805559999999,32.7447222,1/1/2009 0:01
-118.5972222,34.201111100000006,1/1/2009 0:05
-95.3008333,32.351111100000004,1/1/2009 0:10
-81.3794444,28.538055600000003,1/1/2009 0:12
-116.96166670000001,32.7947222,1/1/2009 0:15
-90.92,30.238333299999997,1/1/2009 0:15
